hertz,100,1024,101409.21,1.380,0
fasthttp,100,1024,102625.23,1.056,0
gin,100,1024,102470.24,2.982,0
fasthttp_timeout,100,1024,103892.85,1.044,0
hertz,100,2048,94550.30,1.638,0
fasthttp,100,2048,100751.09,1.111,0
gin,100,2048,23215.51,6.221,0
fasthttp_timeout,100,2048,89655.20,1.153,0
hertz,100,4096,83168.50,1.265,0
fasthttp,100,4096,67385.33,1.517,0
gin,100,4096,24148.59,5.242,0
fasthttp_timeout,100,4096,67192.57,1.525,0
hertz,100,8192,69831.13,1.494,0
fasthttp,100,8192,57779.17,1.774,0
gin,100,8192,20926.01,6.181,0
fasthttp_timeout,100,8192,57845.47,1.767,0
hertz,100,16384,54749.16,1.882,0
fasthttp,100,16384,46965.30,2.173,0
gin,100,16384,19339.36,17.620,0
fasthttp_timeout,100,16384,47155.91,2.159,0
hertz,100,32768,38593.59,2.667,0
fasthttp,100,32768,32505.03,3.163,0
gin,100,32768,13300.34,33.024,0
fasthttp_timeout,100,32768,32539.78,3.140,0
hertz,100,65536,21242.21,9.213,0
fasthttp,100,65536,21264.64,9.216,0
gin,100,65536,9904.25,38.550,0
fasthttp_timeout,100,65536,21346.09,9.185,0
